date,theme,event_type,confidence,mention_number,total_theme_mentions,source,summary,tickers_named,resolved_basket,basket_source,basket_direction,basket_asterisk,ret_1m,ret_1q,ret_1y,ret_2y,smh_1m,smh_1q,smh_1y,smh_2y,excess_1m,excess_1q,excess_1y,excess_2y
2020-05-07,Metaverse / gaming as platform,FIRST_MENTION_AND_HC,high_conviction,1,2,"Columbia SIMA — COVID-19 market impact, technology investing, video games, venture capital",Video games are social networks and will be the foundational platform layer for the personal Metaverse,,"RBLX, EA, TTWO",CONSTRUCTED,LONG,False,3.5,31.76,27.16,-5.9,14.25,28.7,84.09,76.77,-10.75,3.06,-56.93,-82.67
2020-05-07,Power / watts as binding constraint,FIRST_MENTION,moderate,1,6,"Columbia SIMA — COVID-19 market impact, technology investing, video games, venture capital","Edge computing will proliferate into retail stores and restaurants, driven by AI-powered in-store experiences requiring local compute that cannot be served from the cloud due to latency constraints",AMZN,"VST, CEG",BAKER_NAMED,LONG,False,22.56,5.61,-7.91,57.61,14.25,28.7,84.09,76.77,8.31,-23.09,-92.0,-19.16
2020-05-07,Power / watts as binding constraint,FIRST_MENTION_WITH_TICKERS,moderate,1,6,"Columbia SIMA — COVID-19 market impact, technology investing, video games, venture capital","Edge computing will proliferate into retail stores and restaurants, driven by AI-powered in-store experiences requiring local compute that cannot be served from the cloud due to latency constraints",AMZN,"VST, CEG",BAKER_NAMED,LONG,False,22.56,5.61,-7.91,57.61,14.25,28.7,84.09,76.77,8.31,-23.09,-92.0,-19.16
2020-07-27,ASML / semcap equipment criticality,FIRST_MENTION_AND_HC,high_conviction,1,2,Koyfin Investing Wizards — AI tailwind for semiconductors,ASML is the single most critical company in the semiconductor supply chain; continued EUV progress is essential to sustaining Moore's Law and all downstream AI compute scaling,"ASML, INTC, TSM",ASML,BAKER_NAMED,LONG,False,-0.25,-0.84,96.62,45.4,5.12,10.92,53.26,41.8,-5.37,-11.76,43.36,3.6
2020-07-27,ASML / semcap equipment criticality,FIRST_MENTION_WITH_TICKERS,high_conviction,1,2,Koyfin Investing Wizards — AI tailwind for semiconductors,ASML is the single most critical company in the semiconductor supply chain; continued EUV progress is essential to sustaining Moore's Law and all downstream AI compute scaling,"ASML, INTC, TSM",ASML,BAKER_NAMED,LONG,False,-0.25,-0.84,96.62,45.4,5.12,10.92,53.26,41.8,-5.37,-11.76,43.36,3.6
2020-07-27,Broad AI bullish / early innings,FIRST_MENTION_AND_HC,high_conviction,1,7,Koyfin Investing Wizards — AI tailwind for semiconductors,"AI has dramatically higher semiconductor intensity than human-written software, driving a multi-decade structural demand uplift for the entire semiconductor industry","NVDA, INTC, AMD, XLNX, MU, ASML, LRCX, TSM",SMH,OBVIOUS_UNIVERSE,LONG,False,5.12,10.92,53.26,41.8,5.12,10.92,53.26,41.8,0.0,0.0,0.0,0.0
2020-07-27,Broad AI bullish / early innings,FIRST_MENTION_WITH_TICKERS,high_conviction,1,7,Koyfin Investing Wizards — AI tailwind for semiconductors,"AI has dramatically higher semiconductor intensity than human-written software, driving a multi-decade structural demand uplift for the entire semiconductor industry","NVDA, INTC, AMD, XLNX, MU, ASML, LRCX, TSM",SMH,OBVIOUS_UNIVERSE,LONG,False,5.12,10.92,53.26,41.8,5.12,10.92,53.26,41.8,0.0,0.0,0.0,0.0
2020-07-27,Broad AI bullish / early innings,FIRST_SMID_TICKER,high_conviction,1,7,Koyfin Investing Wizards — AI tailwind for semiconductors,"AI has dramatically higher semiconductor intensity than human-written software, driving a multi-decade structural demand uplift for the entire semiconductor industry","NVDA, INTC, AMD, XLNX, MU, ASML, LRCX, TSM",SMH,OBVIOUS_UNIVERSE,LONG,False,5.12,10.92,53.26,41.8,5.12,10.92,53.26,41.8,0.0,0.0,0.0,0.0
2020-07-27,DRAM / HBM memory bottleneck,FIRST_MENTION_AND_HC,high_conviction,1,11,Koyfin Investing Wizards — AI tailwind for semiconductors,"AI has dramatically higher semiconductor intensity than human-written software, driving a multi-decade structural demand uplift for the entire semiconductor industry","NVDA, INTC, AMD, XLNX, MU, ASML, LRCX, TSM",MU,OBVIOUS_UNIVERSE,LONG,False,-12.58,2.44,43.86,20.66,5.12,10.92,53.26,41.8,-17.7,-8.47,-9.39,-21.14
2020-07-27,DRAM / HBM memory bottleneck,FIRST_MENTION_WITH_TICKERS,high_conviction,1,11,Koyfin Investing Wizards — AI tailwind for semiconductors,"AI has dramatically higher semiconductor intensity than human-written software, driving a multi-decade structural demand uplift for the entire semiconductor industry","NVDA, INTC, AMD, XLNX, MU, ASML, LRCX, TSM",MU,OBVIOUS_UNIVERSE,LONG,False,-12.58,2.44,43.86,20.66,5.12,10.92,53.26,41.8,-17.7,-8.47,-9.39,-21.14
