theme,rows_all,rows_subject,delta
AI bubble not happening,7,4,-3
AI capex ROI positive,10,8,-2
AI destroying application layer value,1,1,0
AI networking (Ethernet/InfiniBand),4,3,-1
AI world models for gaming,1,1,0
ALAB / copper vs fiber,1,1,0
ASML / semcap equipment criticality,2,2,0
Anthropic valuation / efficiency,6,5,-1
Bottleneck trade ending,2,1,-1
Broad AI bullish / early innings,10,9,-1
CDN / token delivery path,1,0,-1
China AI distillation / export controls,7,6,-1
Coding as killer AI app,4,3,-1
Crossover investing philosophy,3,3,0
Crypto / Coinbase (COIN),2,2,0
Custom ASIC failure thesis,2,2,0
DISH / 5G bearish,2,2,0
DRAM / HBM memory bottleneck,10,9,-1
Datacenter physical assets,3,1,-2
Datacenter power equipment,1,0,-1
Defense tech consolidation,1,0,-1
Disaggregation prefill/decode,6,6,0
Edge AI as bear case for cloud,5,4,-1
Frontier model concentration,4,4,0
Google AI distribution moat,1,1,0
Google TPU competitive position,5,5,0
Humanoid robotics / Tesla Optimus,9,6,-3
Inference economics / token factories,6,4,-2
Inflation macro framework,2,2,0
Intel recovery / foundry failure,3,3,0
Legacy software bottom / PE take-privates,1,0,-1
MSTR / Bitcoin strategy risk,1,1,0
Merchant silicon alternative (Broadcom/AMD),1,0,-1
Meta AI transformation,3,2,-1
Metaverse / gaming as platform,5,5,0
Microsoft AI position,2,1,-1
Neoclouds as durable model,5,4,-1
Nuclear / clean energy for AI,1,1,0
Nuclear/quantum bubble warning,1,1,0
Nvidia GPU moat / CUDA ecosystem,10,9,-1
Open source AI bullish for hardware,3,3,0
Optical networking / interconnect,3,2,-1
Orbital / space-based compute,13,8,-5
Power / cooling equipment suppliers,1,1,0
Power / watts as binding constraint,7,6,-1
Private market structural shift,2,1,-1
Reasoning / inference-time compute,7,7,0
SPAC structural analysis,4,3,-1
SaaS existential disruption,7,6,-1
Scaling laws intact,9,8,-1
Sovereign AI,1,0,-1
SpaceX ecosystem / Starship economics,17,13,-4
Stablecoin / Visa-MC disruption,1,1,0
Stranded / behind-the-meter power,2,1,-1
TSMC capacity discipline,3,3,0
Target / omnichannel retail,3,3,0
Tesla / EV / FSD,2,1,-1
Trainium / Amazon custom silicon,5,5,0
Uranium enrichment / national security,1,0,-1
Usage-based AI pricing shift,2,2,0
xAI competitive position,13,9,-4
