date,theme,mention_number,old_basket,old_source,old_direction,new_basket,new_source,new_direction,new_reasoning,changed,override_exists
2019-11-26,Intel recovery / foundry failure,1,,NO_BASKET,LONG,"LONG TSM, AAPL, AMD, QCOM / SHORT INTC",BAKER_NAMED,PAIR_TRADE,"Baker identifies TSMC surpassing Intel at 7nm as a structural inflection point with a quantified 20-30% competitiveness swing against Intel. This is a high-conviction directional thesis with clear winners (TSMC and fabless designers like Apple, AMD, Qualcomm) and a clear loser (Intel). He describes sustained structural headwinds for Intel's integrated device model and tailwinds for TSMC and its major fabless customers. The pipeline tagged INTC, TSM, AAPL, AMD, and QCOM as directly named by Baker. The quantified competitive impact and framing as a durable structural shift (not cyclical) make this a trade recommendation rather than mere industry commentary.",YES,YES
2020-04-02,Metaverse / gaming as platform,2,"ATVI, EA, TTWO",BAKER_NAMED,LONG,"MSFT, SNE",BAKER_NAMED,LONG,"Baker makes a high-conviction trade recommendation to own companies behind gaming platforms that have built identity, payments, and social layers as foundational metaverse infrastructure. He specifically names five platforms: Xbox (MSFT), PlayStation (SNE), Steam (Valve - private), Roblox (private in April 2020, IPO'd March 2021), and Fortnite (Epic Games - private). Of these, only MSFT and SNE had public tickers at the time of the statement. The pipeline-tagged TTWO, ATVI, and EA are game publishers, not platforms with the identity/payments/social infrastructure Baker specifically highlights as the investment thesis. Baker's argument is narrowly about platform owners with network effects and virtual economy lock-in, not game publishers broadly. Steam/Valve and Epic are private with no public expression. RBLX was not yet public. Therefore the actionable public basket is MSFT and SNE.",YES,YES
2020-04-02,SPAC structural analysis,1,,NO_BASKET,MIXED,NO_BASKET,NONE,NONE,"Baker is making a structural observation about the co-working/space-as-a-service model (specifically WeWork) facing challenges post-COVID. WeWork was private at the time of this discussion (April 2020), so there is no public ticker to trade. Baker himself explicitly stops short of a directional trade recommendation, acknowledging uncertainty about whether WeWork can adapt. No other public companies are named or implied as beneficiaries or losers. This is industry commentary on a private company, not a trade recommendation.",YES,NO
2020-04-02,Target / omnichannel retail,1,TGT,BAKER_NAMED,LONG,"WMT, TGT, COST, KR",BAKER_NAMED,LONG,"Baker explicitly names Walmart, Target, Costco, and Kroger as the biggest e-commerce beneficiaries of COVID-19, arguing they are compressing years of digital investment into months, will face less competition as smaller rivals go bankrupt, and will emerge with durable e-commerce capabilities and entrenched market positions. This is a high-conviction, clearly directional trade recommendation with four specifically named companies.",YES,NO
2020-05-07,Power / watts as binding constraint,1,,NO_BASKET,LONG,NO_BASKET,NONE,NONE,"Baker is describing a speculative, long-term structural observation about edge computing proliferating into retail stores over a 5-10 year horizon. The expanded summary explicitly states he 'frames this as a speculative long-term view he is actively thinking through rather than a current portfolio position.' While he mentions NVIDIA GPU clusters and Amazon Go by name, these serve as illustrative examples of a technology trend rather than trade recommendations. The thesis is a prediction about distributed compute architecture evolution, not a call to buy or sell specific stocks. Moderate confidence and the exploratory framing both point to commentary rather than an actionable trade.",YES,YES
2020-07-27,Broad AI bullish / early innings,1,SMH,OBVIOUS_UNIVERSE,LONG,NO_BASKET,NONE,NONE,"Baker is making a broad structural observation that AI has higher semiconductor intensity than human-written software, implying a multi-decade demand uplift for the entire semiconductor industry. He does not name any specific companies or tickers. The thesis covers 'virtually every segment of the semiconductor supply chain — logic, memory, networking, capital equipment' which is an extremely broad universe with dozens of public companies. No specific beneficiaries are named or implied narrowly enough to resolve to a tradeable basket. This is a market-level/industry-level structural opinion ('AI infrastructure beneficiaries without specifics = NO_BASKET'), not a specific trade recommendation. The pipeline's tagging of SMH/SOXX is reasonable as sector ETFs but Baker did not recommend those instruments.",YES,NO
2020-07-27,DRAM / HBM memory bottleneck,1,MU,OBVIOUS_UNIVERSE,LONG,NO_BASKET,NONE,NONE,"Baker is making a broad structural observation that AI's higher semiconductor intensity (6x memory, more compute/networking/storage) will drive the semiconductor industry's share of GDP up 4-6x over 10-30 years. He explicitly frames this as a foundational thesis underpinning ALL his semiconductor investments, not a specific trade. He names no companies, no tickers, and no narrow categories — he says 'virtually every segment' (logic, memory, networking, capital equipment) benefits. This is a market-level/industry-level structural opinion, not a trade recommendation. The pipeline's implied SMH/SOXX are ETFs Baker did not name, and resolving 'the entire semiconductor industry' to specific tickers would be overly constructed. This is thematic commentary, not an actionable trade thesis.",YES,NO
2020-07-27,Intel recovery / foundry failure,2,INTC,BAKER_NAMED,LONG,"LONG AMD, TSM / SHORT INTC",BAKER_NAMED,PAIR_TRADE,"Baker explicitly names Intel (INTC), AMD, and TSMC (TSM) and makes a clear directional argument: Intel has suffered a structural, potentially irreversible loss of its manufacturing leadership. He is bearish on INTC due to EUV adoption failure and 10nm yield problems, and bullish on AMD as the primary x86 beneficiary of Intel's execution failures and TSM as the foundry winner capturing manufacturing share. He frames Intel's 10nm server CPU execution as a near-term binary test where failure would further cement AMD's data center advantage. This is a high-conviction pair trade recommendation with named companies.",YES,NO
2021-09-13,Broad AI bullish / early innings,2,SMH,OBVIOUS_UNIVERSE,LONG,NO_BASKET,NONE,NONE,"Baker makes a broad structural observation that semiconductors are transformative and have secular demand growth driven by AI. No specific companies, tickers, or even sub-segments are named or implied. This is a market-level thematic opinion ('semiconductors are the closest thing to magic') rather than an actionable trade recommendation. The semiconductor universe is far too broad to resolve to specific tickers without Baker narrowing the thesis.",YES,NO
2021-11-01,SpaceX ecosystem / Starship economics,1,"VSAT, SATS, LUMN",BAKER_NAMED,SHORT,NO_BASKET,NONE,NONE,"The expanded summary explicitly states 'Baker does not name specific short targets' and frames this as a 'global, long-duration disruption thesis.' While the directional implication is bearish on leveraged telecom/broadband, the category is extremely broad ('telecom and broadband companies globally') with dozens of potential names across multiple sub-sectors and geographies. The specific companies mentioned (ViaSat, EchoStar, etc.) appear to be the pipeline's examples rather than Baker's own named targets. At moderate confidence and without Baker naming specific companies or tickers, this reads as a structural industry disruption observation rather than an actionable trade recommendation. It is a thematic risk warning about Starlink's competitive impact, not a specific short call.",YES,YES
