date,theme,mention_number,old_basket,old_source,old_direction,new_basket,new_source,new_direction,new_reasoning,changed,override_exists
2019-11-26,Intel recovery / foundry failure,1,,NO_BASKET,LONG,"TSM, AAPL, AMD, QCOM, INTC",BAKER_NAMED,PAIR_TRADE,"Baker explicitly argues TSMC's process leadership creates a durable structural advantage for fabless designers (AAPL, AMD, QCOM) manufactured at TSMC, and sustained headwinds for INTC, making this a long fabless/TSMC vs short INTC pair trade.",YES,YES
2020-04-02,Metaverse / gaming as platform,2,"ATVI, EA, TTWO",BAKER_NAMED,LONG,"MSFT, SNE, RBLX",BAKER_NAMED,LONG,"Baker explicitly names Xbox (MSFT), PlayStation (SNE), and Roblox (RBLX) as platforms with identity, payments, and social layers best positioned as metaverse infrastructure, recommending owning them as long-term compounders; Steam and Fortnite are private and excluded.",YES,YES
2020-04-02,Target / omnichannel retail,1,TGT,BAKER_NAMED,LONG,"WMT, TGT, COST, KR",BAKER_NAMED,LONG,"Baker explicitly names Walmart, Target, Costco, and Kroger as the biggest e-commerce beneficiaries of COVID with high conviction, arguing they gain durable competitive advantages.",YES,NO
2020-05-07,Power / watts as binding constraint,1,,NO_BASKET,LONG,NVDA,BAKER_NAMED,LONG,He specifically cites NVIDIA GPU clusters deployed in stores and states companies supplying GPU hardware for in-store deployments stand to benefit most directly.,YES,YES
2020-07-27,Broad AI bullish / early innings,1,SMH,OBVIOUS_UNIVERSE,LONG,"SMH, SOXX",OBVIOUS_UNIVERSE,LONG,"Bullish sector-level call on the entire semiconductor industry with 4-6x structural demand uplift, most naturally expressed via broad semiconductor ETFs.",YES,NO
2020-07-27,DRAM / HBM memory bottleneck,1,MU,OBVIOUS_UNIVERSE,LONG,"SMH, SOXX",OBVIOUS_UNIVERSE,LONG,"Bullish on the entire semiconductor sector as AI drives 4-6x structural demand uplift across logic, memory, networking, and equipment — broad sector ETFs are the obvious vehicle for this non-company-specific thesis.",YES,NO
2020-07-27,Intel recovery / foundry failure,2,INTC,BAKER_NAMED,LONG,"INTC, AMD",BAKER_NAMED,PAIR_TRADE,"Baker is bearish on Intel due to structural manufacturing failures and bullish on AMD as the primary x86 beneficiary, forming a natural pair trade short INTC / long AMD.",YES,NO
2021-09-13,Broad AI bullish / early innings,2,SMH,OBVIOUS_UNIVERSE,LONG,,NO_BASKET,,Broad sector-level bullish view on semiconductors without naming specific companies or sub-segments; the beneficiary universe is too broad to resolve into a specific actionable basket.,YES,NO
2021-11-01,SpaceX ecosystem / Starship economics,1,"VSAT, SATS, LUMN",BAKER_NAMED,SHORT,"VSAT, SATS, LUMN",OBVIOUS_UNIVERSE,SHORT,"Bearish thesis on leveraged telecom/broadband incumbents facing Starlink disruption, with VSAT and SATS (EchoStar) facing direct substitution and LUMN as a leveraged wireline carrier facing subscriber erosion.",YES,YES
2021-11-01,Target / omnichannel retail,3,TGT,BAKER_NAMED,LONG,"WMT, TGT, HD, LOW",BAKER_NAMED,LONG,"Baker expresses high conviction that best-in-breed omni-channel retailers with accessible non-mall footprints (WMT, TGT, HD, LOW all fit this description precisely) are structural winners from the permanent COVID-driven shift to unified omni-channel retail.",YES,NO
2021-11-30,AI bubble not happening,1,SMH,OBVIOUS_UNIVERSE,LONG,,NO_BASKET,,"Bullish view on large-cap tech and mid-cap SaaS broadly, but the universe is too large and ambiguous to resolve to specific tickers — this is a general sector/valuation framework rather than a targeted thesis.",YES,NO
2021-11-30,ASML / semcap equipment criticality,2,ASML,BAKER_NAMED,LONG,"ASML, LRCX, KLAC, AMAT",BAKER_NAMED,LONG,"Baker argues these four equipment companies occupy structurally irreplaceable positions with durable pricing power, which is a clear bullish investment thesis.",YES,NO
2021-11-30,Broad AI bullish / early innings,3,SMH,OBVIOUS_UNIVERSE,LONG,"META, GOOGL, AMZN, BABA, TCEHY",OBVIOUS_UNIVERSE,LONG,"Bullish on mega-cap internet platforms with the largest proprietary user-generated datasets as structurally advantaged AI winners, explicitly in both US and China.",YES,NO
2021-11-30,DISH / 5G bearish,2,"T, VZ, TMUS",OBVIOUS_UNIVERSE,SHORT,,NO_BASKET,,"The view is bearish on 5G as a technology trend broadly, but doesn't target specific companies or a narrow enough sector to resolve into a tradeable basket — telecom operators and handset manufacturers are too broad and diverse.",YES,YES
2021-11-30,DRAM / HBM memory bottleneck,2,MU,OBVIOUS_UNIVERSE,LONG,,NO_BASKET,,"Bullish on the entire semiconductor sector broadly across compute, memory, and networking — too broad and ambiguous to resolve to a specific actionable basket of tickers.",YES,NO
2021-11-30,Metaverse / gaming as platform,4,"ATVI, EA, TTWO",BAKER_NAMED,LONG,,NO_BASKET,,50-year horizon with explicitly acknowledged uncertainty about which companies will benefit makes this a non-actionable philosophical view rather than a tradeable thesis.,YES,YES
2021-11-30,Scaling laws intact,1,SMH,OBVIOUS_UNIVERSE,LONG,"NVDA, AMD, AVGO, MU, MRVL, TSM, ASML, KLAC, LRCX, AMAT",OBVIOUS_UNIVERSE,LONG,"High-conviction bullish call on the entire semiconductor sector across compute (NVDA, AMD, TSM), memory (MU), networking/interconnect (AVGO, MRVL), and enabling equipment (ASML, KLAC, LRCX, AMAT) as structural beneficiaries of rising semiconductor intensity driven by AI scaling laws.",YES,NO
2021-11-30,SpaceX ecosystem / Starship economics,2,"RKLB, SPCE, RDW",RETAIL_PROXY,LONG,,NO_BASKET,,"The thesis centers on SpaceX and Starlink, both private companies with no public equity expression, and the speaker explicitly acknowledges this constraint.",YES,NO
2021-11-30,Tesla / EV / FSD,1,TSLA,BAKER_NAMED,LONG,"NKLA, RIDE, GOEV, FSR, LCID, ARVL, REE",OBVIOUS_UNIVERSE,SHORT,"Baker is clearly bearish on the EV SPAC sector as fundamentally worthless with no path to competing against Tesla, Chinese EVs, or legacy OEMs, and the public universe of EV SPACs is well-known.",YES,NO
2022-01-25,Metaverse / gaming as platform,5,"ATVI, EA, TTWO",BAKER_NAMED,LONG,"RBLX, MSFT, AAPL, GOOGL",BAKER_NAMED,LONG,"Baker explicitly favors gaming platforms with existing metaverse ecosystems (Roblox, Minecraft/Microsoft) and mobile OS gatekeepers (Apple, Google) as long-term structural winners in the metaverse transition.",YES,YES
2022-03-25,AI bubble not happening,2,SMH,OBVIOUS_UNIVERSE,LONG,"MSFT, AMZN, GOOGL, META",OBVIOUS_UNIVERSE,LONG,"Bullish on cloud/hyperscaler companies specifically, arguing no excess capacity and real cash flows make the selloff a buying opportunity; the public hyperscaler universe is small and obvious.",YES,NO
