date,theme,event_type,confidence,mention_number,total_theme_mentions,source,summary,summary_extended,tickers_direct,resolved_basket,basket_source,basket_direction,basket_asterisk,override_note,is_derisk_signal,is_thesis_reversal,is_thesis_close,exclude_from_long_stats,ret_1m,ret_1q,ret_1y,ret_2y,smh_1m,smh_1q,smh_1y,smh_2y,excess_1m,excess_1q,excess_1y,excess_2y
2019-11-26,Intel recovery / foundry failure,FIRST_MENTION_AND_HC,high_conviction,1,3,Invest Like the Best — Tech and consumer growth investing (EP.149),Intel's loss of semiconductor manufacturing leadership to TSMC in 2018 was a structural inflection point creating a 20-30% competitiveness swing for fabless chip designers.,"Baker argues that TSMC's achievement of the 7nm node ahead of Intel in 2018 was a structural inflection point in semiconductor manufacturing, representing one of only two truly important technology events that year. Specifically, TSMC's 7nm is equivalent to Intel's 10nm, meaning that for the first time in decades, fabless chip designers gained a meaningful process technology advantage over Intel rather than being disadvantaged. Baker quantifies this as a 10-15% embedded performance/efficiency advantage for fabless designers, which translates to a 20-30% total competitiveness swing against Intel when accounting for both sides of the gap. The investment implication is that fabless semiconductor companies — those designing chips manufactured by TSMC — now have a durable structural cost and performance edge over Intel's integrated device model, benefiting companies like Apple whose custom silicon is manufactured at TSMC. Baker presents this as a long-term structural shift rather than a cyclical event, suggesting sustained headwinds for Intel and tailwinds for TSMC and its major fabless customers.","INTC, TSM, AAPL",,NO_BASKET,LONG,False,"Intel mention 1 (2019-11-26) is a TSMC-beat-Intel structural observation, not an Intel long -> NO_BASKET. Mentions 2/3 keep INTC LONG (default).",,,,,NO_BASKET,NO_BASKET,NO_BASKET,NO_BASKET,-3.61,-20.98,52.02,116.07,NO_BASKET,NO_BASKET,NO_BASKET,NO_BASKET
2019-11-26,Intel recovery / foundry failure,FIRST_MENTION_WITH_TICKERS,high_conviction,1,3,Invest Like the Best — Tech and consumer growth investing (EP.149),Intel's loss of semiconductor manufacturing leadership to TSMC in 2018 was a structural inflection point creating a 20-30% competitiveness swing for fabless chip designers.,"Baker argues that TSMC's achievement of the 7nm node ahead of Intel in 2018 was a structural inflection point in semiconductor manufacturing, representing one of only two truly important technology events that year. Specifically, TSMC's 7nm is equivalent to Intel's 10nm, meaning that for the first time in decades, fabless chip designers gained a meaningful process technology advantage over Intel rather than being disadvantaged. Baker quantifies this as a 10-15% embedded performance/efficiency advantage for fabless designers, which translates to a 20-30% total competitiveness swing against Intel when accounting for both sides of the gap. The investment implication is that fabless semiconductor companies — those designing chips manufactured by TSMC — now have a durable structural cost and performance edge over Intel's integrated device model, benefiting companies like Apple whose custom silicon is manufactured at TSMC. Baker presents this as a long-term structural shift rather than a cyclical event, suggesting sustained headwinds for Intel and tailwinds for TSMC and its major fabless customers.","INTC, TSM, AAPL",,NO_BASKET,LONG,False,"Intel mention 1 (2019-11-26) is a TSMC-beat-Intel structural observation, not an Intel long -> NO_BASKET. Mentions 2/3 keep INTC LONG (default).",,,,,NO_BASKET,NO_BASKET,NO_BASKET,NO_BASKET,-3.61,-20.98,52.02,116.07,NO_BASKET,NO_BASKET,NO_BASKET,NO_BASKET
2019-11-26,Metaverse / gaming as platform,FIRST_MENTION_AND_HC,high_conviction,1,5,Invest Like the Best — Tech and consumer growth investing (EP.149),Video games are not hit-driven businesses; they are social networks with highly persistent franchise value.,"Baker argues that the public markets fundamentally misunderstand video games as hit-driven businesses, when in reality they function as social networks with durable, persistent franchise value. His evidence is 20 years of sales data showing Call of Duty has been the best-selling game nearly every year except when Rockstar releases a title, with franchises like Assassin's Creed and Battlefield consistently appearing in top 5 or top 10 lists year after year. The mechanism driving this persistence is social network effects: friend groups coalesce around specific games, creating high switching costs that make it extremely difficult for new titles to displace incumbents. The investment implication is that the market systematically undervalues the recurring earnings power of established gaming franchises and the companies that own them, suggesting long-term ownership of major franchise holders is warranted. Baker views this as a core misperception he has high conviction correcting, implying that companies like Activision Blizzard (Call of Duty), Ubisoft (Assassin's Creed), and EA (Battlefield) are structurally undervalued by markets that price them as hit-dependent rather than network-effect businesses.","ATVI, EA, TTWO","ATVI, EA, TTWO",BAKER_NAMED,LONG,False,"All mentions. RBLX removed — not public until 2021-03-10, cannot anchor 2020 returns.",,,,,-0.34,-1.06,54.51,27.99,-3.61,-20.98,52.02,116.07,3.27,19.92,2.49,-88.08
2019-11-26,Metaverse / gaming as platform,FIRST_MENTION_WITH_TICKERS,high_conviction,1,5,Invest Like the Best — Tech and consumer growth investing (EP.149),Video games are not hit-driven businesses; they are social networks with highly persistent franchise value.,"Baker argues that the public markets fundamentally misunderstand video games as hit-driven businesses, when in reality they function as social networks with durable, persistent franchise value. His evidence is 20 years of sales data showing Call of Duty has been the best-selling game nearly every year except when Rockstar releases a title, with franchises like Assassin's Creed and Battlefield consistently appearing in top 5 or top 10 lists year after year. The mechanism driving this persistence is social network effects: friend groups coalesce around specific games, creating high switching costs that make it extremely difficult for new titles to displace incumbents. The investment implication is that the market systematically undervalues the recurring earnings power of established gaming franchises and the companies that own them, suggesting long-term ownership of major franchise holders is warranted. Baker views this as a core misperception he has high conviction correcting, implying that companies like Activision Blizzard (Call of Duty), Ubisoft (Assassin's Creed), and EA (Battlefield) are structurally undervalued by markets that price them as hit-dependent rather than network-effect businesses.","ATVI, EA, TTWO","ATVI, EA, TTWO",BAKER_NAMED,LONG,False,"All mentions. RBLX removed — not public until 2021-03-10, cannot anchor 2020 returns.",,,,,-0.34,-1.06,54.51,27.99,-3.61,-20.98,52.02,116.07,3.27,19.92,2.49,-88.08
2020-04-02,SPAC structural analysis,FIRST_MENTION,moderate,1,3,Invest Like the Best — Investing through a bear market (EP.167),Space-as-a-service / co-working model faces structural challenge post-COVID due to density and health concerns,"Baker argues that the co-working / space-as-a-service model exemplified by WeWork faces a fundamental structural challenge in a post-COVID world, because its core value proposition — packing more people into smaller spaces with shared common areas (what Baker likens to the Ian Schrager hotel aesthetic) — is directly at odds with post-pandemic priorities around health monitoring, temperature screening, and population density control. He acknowledges that WeWork was genuinely valued by corporate real estate heads for its flexibility in managing branch office footprints, so the demand for flexible office space itself is not dead, but the specific high-density execution model must change materially. Baker suggests one possible adaptation path is for WeWork to reinvent itself as a thought leader in health and safety protocols for office environments, though he expresses uncertainty about whether the company can successfully pivot. The investment implication is broadly negative for the high-density co-working model as currently constructed, though Baker stops short of a specific directional trade given WeWork's private status at the time and the uncertainty around adaptation.",,,NO_BASKET,MIXED,False,,,,,,NO_BASKET,NO_BASKET,NO_BASKET,NO_BASKET,12.69,34.14,126.49,135.02,NO_BASKET,NO_BASKET,NO_BASKET,NO_BASKET
2020-04-02,Target / omnichannel retail,FIRST_MENTION_AND_HC,high_conviction,1,3,Invest Like the Best — Investing through a bear market (EP.167),"Omnichannel physical retailers (Walmart, Target, Costco, Kroger) are the biggest e-commerce beneficiaries of COVID","Baker argues that large omnichannel physical retailers — specifically Walmart, Target, Costco, and Kroger — are the primary e-commerce beneficiaries of COVID-19, not pure-play e-commerce companies. His reasoning is that these retailers are compressing what would normally be 12-18 months of e-commerce capital expenditure and capability-building into just a few months, permanently resolving internal debates about digital investment in favor of going all-in. When physical stores eventually reopen, these retailers will face a structurally less competitive landscape because smaller rivals will have gone bankrupt during the crisis, further entrenching their market positions. Baker views this as a medium-term structural shift where the crisis has functioned as a forced accelerant, giving these incumbents durable e-commerce muscle and competitive moat that would have taken years to build organically.","WMT, TGT, COST, KR","WMT, TGT, COST, KR",BAKER_NAMED,LONG,False,v4 review (CHANGE). Named all four,,,,,7.57,9.87,46.95,89.25,12.69,34.14,126.49,135.02,-5.12,-24.27,-79.54,-45.77
2020-04-02,Target / omnichannel retail,FIRST_MENTION_WITH_TICKERS,high_conviction,1,3,Invest Like the Best — Investing through a bear market (EP.167),"Omnichannel physical retailers (Walmart, Target, Costco, Kroger) are the biggest e-commerce beneficiaries of COVID","Baker argues that large omnichannel physical retailers — specifically Walmart, Target, Costco, and Kroger — are the primary e-commerce beneficiaries of COVID-19, not pure-play e-commerce companies. His reasoning is that these retailers are compressing what would normally be 12-18 months of e-commerce capital expenditure and capability-building into just a few months, permanently resolving internal debates about digital investment in favor of going all-in. When physical stores eventually reopen, these retailers will face a structurally less competitive landscape because smaller rivals will have gone bankrupt during the crisis, further entrenching their market positions. Baker views this as a medium-term structural shift where the crisis has functioned as a forced accelerant, giving these incumbents durable e-commerce muscle and competitive moat that would have taken years to build organically.","WMT, TGT, COST, KR","WMT, TGT, COST, KR",BAKER_NAMED,LONG,False,v4 review (CHANGE). Named all four,,,,,7.57,9.87,46.95,89.25,12.69,34.14,126.49,135.02,-5.12,-24.27,-79.54,-45.77
2020-05-07,Metaverse / gaming as platform,THIRD_MENTION_WITHIN_1YR,high_conviction,3,5,"Columbia SIMA — COVID-19 market impact, technology investing, video games, venture capital",Video games are social networks and will be the foundational platform layer for the personal Metaverse,"Baker argues that video games are fundamentally social networks — not merely entertainment — because players engage with friends, switching costs are high, and the social graph is embedded in the platform itself. He identifies the Marshmallow concert in Fortnite as the inflection point that crystallized his view that games, not VR hardware like Oculus, will be the foundational platform layer for the personal Metaverse. The investment implication is that existing game IP owners and publishers are the clearest first-order winners because they already own the social graphs, content libraries, and virtual economies that will underpin the Metaverse. Baker frames this as a structural, multi-decade thesis with high conviction, suggesting long positions in major game publishers with established live-service franchises and large player bases. No specific valuation targets or timeframes were cited, but the thesis is explicitly long-term and contrarian relative to the VR-hardware-centric Metaverse narrative dominant at the time.","ATVI, EA, TTWO, EPIC","ATVI, EA, TTWO",BAKER_NAMED,LONG,False,"All mentions. RBLX removed — not public until 2021-03-10, cannot anchor 2020 returns.",,,,,1.25,27.44,28.21,-1.39,14.25,28.7,84.09,76.77,-13.0,-1.26,-55.88,-78.16
2020-05-07,Power / watts as binding constraint,FIRST_MENTION,moderate,1,6,"Columbia SIMA — COVID-19 market impact, technology investing, video games, venture capital","Edge computing will proliferate into retail stores and restaurants, driven by AI-powered in-store experiences requiring local compute that cannot be served from the cloud due to latency constraints","Baker argues that Amazon Go-style frictionless retail stores — featuring facial recognition, personalized advertising, and automated checkout — will become ubiquitous within 5-10 years, creating massive demand for edge computing infrastructure. The core reasoning is that the physics of latency make cloud-only solutions unworkable for real-time in-store AI applications, necessitating significant local compute (he specifically cites NVIDIA GPU clusters deployed inside individual stores). He envisions a hierarchical compute architecture flowing from large core data centers to regional nodes to edge compute embedded in every retail location, representing a structural build-out of distributed AI infrastructure. The investment implication is that companies supplying the GPU hardware for these in-store deployments stand to benefit most directly, while the Amazon Go concept itself validates the demand thesis. Baker frames this as a speculative long-term view he is actively thinking through rather than a current portfolio position, so no near-term catalyst is identified.","AMZN, NVDA",,NO_BASKET,LONG,False,2020-05-07 edge-computing-in-retail thesis is misclustered into power -> NO_BASKET. Only that row.,,,,,NO_BASKET,NO_BASKET,NO_BASKET,NO_BASKET,14.25,28.7,84.09,76.77,NO_BASKET,NO_BASKET,NO_BASKET,NO_BASKET
2020-05-07,Power / watts as binding constraint,FIRST_MENTION_WITH_TICKERS,moderate,1,6,"Columbia SIMA — COVID-19 market impact, technology investing, video games, venture capital","Edge computing will proliferate into retail stores and restaurants, driven by AI-powered in-store experiences requiring local compute that cannot be served from the cloud due to latency constraints","Baker argues that Amazon Go-style frictionless retail stores — featuring facial recognition, personalized advertising, and automated checkout — will become ubiquitous within 5-10 years, creating massive demand for edge computing infrastructure. The core reasoning is that the physics of latency make cloud-only solutions unworkable for real-time in-store AI applications, necessitating significant local compute (he specifically cites NVIDIA GPU clusters deployed inside individual stores). He envisions a hierarchical compute architecture flowing from large core data centers to regional nodes to edge compute embedded in every retail location, representing a structural build-out of distributed AI infrastructure. The investment implication is that companies supplying the GPU hardware for these in-store deployments stand to benefit most directly, while the Amazon Go concept itself validates the demand thesis. Baker frames this as a speculative long-term view he is actively thinking through rather than a current portfolio position, so no near-term catalyst is identified.","AMZN, NVDA",,NO_BASKET,LONG,False,2020-05-07 edge-computing-in-retail thesis is misclustered into power -> NO_BASKET. Only that row.,,,,,NO_BASKET,NO_BASKET,NO_BASKET,NO_BASKET,14.25,28.7,84.09,76.77,NO_BASKET,NO_BASKET,NO_BASKET,NO_BASKET
