date,theme,event_type,confidence,mention_number,total_theme_mentions,source,summary,basket,basket_direction,basket_note,high_profile_venue,ret_1m,ret_1q,ret_1y,ret_2y,smh_1m,smh_1q,smh_1y,smh_2y,excess_1m,excess_1q,excess_1y,excess_2y,resolved_basket,basket_source,basket_asterisk
2020-05-07,Power / watts as binding constraint,FIRST_MENTION,moderate,1,6,"Columbia SIMA — COVID-19 market impact, technology investing","Edge computing will proliferate into retail stores and restaurants, driven by AI-powered in-store experiences requiring local compute that c","VST, CEG, NRG, ETR, TLN",LONG,US power/utility names Baker specifically tied to datacenter power demand,False,22.56,5.61,-7.91,57.61,14.25,28.7,84.09,76.77,8.31,-23.09,-92.0,-19.16,"VST, CEG",BAKER_NAMED,False
2020-07-27,DRAM / HBM memory bottleneck,FIRST_MENTION_AND_HC,high_conviction,1,10,Koyfin Investing Wizards — AI tailwind for semiconductors,"AI has dramatically higher semiconductor intensity than human-written software, driving a multi-decade structural demand uplift for the enti",MU,LONG,Only US-listed pure-play HBM/DRAM producer,False,-12.58,2.44,43.86,20.66,5.12,10.92,53.26,41.8,-17.7,-8.47,-9.39,-21.14,MU,OBVIOUS_UNIVERSE,False
2020-07-27,Intel recovery / foundry failure,FIRST_MENTION_AND_HC,high_conviction,1,2,Koyfin Investing Wizards — AI tailwind for semiconductors,Intel faces a structural competitive crisis having lost its 50-year manufacturing lead due to the EUV bet and process execution failures; re,INTC,LONG,Thesis is about Intel specifically.,False,0.39,-2.1,10.13,-14.36,5.12,10.92,53.26,41.8,-4.72,-13.02,-43.13,-56.16,INTC,BAKER_NAMED,False
2021-11-01,SpaceX ecosystem / Starship economics,FIRST_MENTION,moderate,1,9,Graham & Doddsville (Columbia Business School) — Investor in,Starlink is a significant disruptor to leveraged telecom and broadband companies globally,NO_BASKET,LONG,NO PUBLIC BASKET. SpaceX is private. RKLB is a distant comp but different thesis,False,-17.9,-46.8,-72.63,-79.03,9.77,0.46,-30.79,7.34,-27.67,-47.27,-41.84,-86.38,"RKLB, SPCE, RDW",RETAIL_PROXY,True
2021-11-30,Scaling laws intact,FIRST_MENTION_AND_HC,high_conviction,1,5,VS Partners / Financial Times Global Seattle Symposium — Glo,AI-driven scaling laws will dramatically increase semiconductor intensity of the global economy,"NVDA, MSFT",LONG,Scaling laws = more compute needed = GPU demand + hyperscaler capex,False,-3.4,-17.43,-35.13,29.34,2.16,-11.57,-24.91,7.47,-5.56,-5.86,-10.22,21.87,"NVDA, MSFT",OBVIOUS_UNIVERSE,False
2021-11-30,SpaceX ecosystem / Starship economics,FIRST_HC_NOT_FIRST_MENTION,high_conviction,2,9,VS Partners / Financial Times Global Seattle Symposium — Glo,SpaceX / Starlink is the only investable space company — dramatically lower launch costs will reshape the world,NO_BASKET,LONG,NO PUBLIC BASKET. SpaceX is private. RKLB is a distant comp but different thesis,False,-20.95,-40.5,-72.62,-75.72,2.16,-11.57,-24.91,7.47,-23.11,-28.93,-47.71,-83.19,"RKLB, SPCE, RDW",RETAIL_PROXY,True
2023-06-19,Optical networking / interconnect,FIRST_MENTION,moderate,1,8,"This Week in Startups — AI platform shift, Nvidia outlook, e",Solar and battery storage compounding will solve climate change structurally; fossil fuels will phase out as photovoltaic efficiency compoun,"CIEN, COHR, LITE",LONG,The three major US-listed optical networking component companies post-mergers,False,-10.66,-18.34,5.17,60.1,0.09,-4.46,77.01,79.53,-10.74,-13.88,-71.84,-19.43,"CIEN, COHR, LITE",BAKER_NAMED,False
2023-06-19,Optical networking / interconnect,FIRST_MENTION,moderate,1,8,"This Week in Startups — AI platform shift, Nvidia outlook, e","Open-source model optimization (smaller models, efficiency gains) is a credible competitive threat to large GPU-intensive training runs, wit","CIEN, COHR, LITE",LONG,The three major US-listed optical networking component companies post-mergers,False,-10.66,-18.34,5.17,60.1,0.09,-4.46,77.01,79.53,-10.74,-13.88,-71.84,-19.43,"CIEN, COHR, LITE",BAKER_NAMED,False
2023-06-19,Optical networking / interconnect,FIRST_MENTION,moderate,1,8,"This Week in Startups — AI platform shift, Nvidia outlook, e","Compute centralization is cyclical; AI will drive a move back toward edge computing as smaller, efficient models proliferate, reversing the ","CIEN, COHR, LITE",LONG,The three major US-listed optical networking component companies post-mergers,False,-10.66,-18.34,5.17,60.1,0.09,-4.46,77.01,79.53,-10.74,-13.88,-71.84,-19.43,"CIEN, COHR, LITE",BAKER_NAMED,False
2023-06-19,Optical networking / interconnect,FIRST_MENTION,moderate,1,8,"This Week in Startups — AI platform shift, Nvidia outlook, e","GPU utilization efficiency is dramatically underoptimized (30% utilization during GPT-3/Palm training), and AI-driven optimization of this s","CIEN, COHR, LITE",LONG,The three major US-listed optical networking component companies post-mergers,False,-10.66,-18.34,5.17,60.1,0.09,-4.46,77.01,79.53,-10.74,-13.88,-71.84,-19.43,"CIEN, COHR, LITE",BAKER_NAMED,False
